"Series Description","Bank credit, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Securities in bank credit, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Treasury and agency securities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other securities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Loans and leases in bank credit, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Commercial and industrial loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Residential real estate loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Residential real estate loans: Revolving home equity loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Residential real estate loans: Closed-end residential loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Commercial real estate loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Consumer loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Consumer loans: Credit cards and other revolving plans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Consumer loans: Other consumer loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other loans and leases: All other loans and leases, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","LESS: Allowance for loan and lease losses, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Cash assets, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Total fed funds sold and securities purcased under agreements to resell at all banks","Loans to commercial banks, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other assets, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Total assets, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Deposits, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Large time deposits, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other deposits, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Borrowings, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other liabilities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Total liabilities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)"
1948Q3,0.3,-4.7,-5.9,5.0,10.7,4.5,14.3,,,,,,,,,,,,,,,,,,,,
1948Q4,-4.4,-7.5,-7.3,-9.9,0.7,-4.5,11.0,,,,,,,,,,,,,,,,,,,,
1949Q1,0.5,-3.2,-3.5,-5.1,7.4,-6.8,8.1,,,,,,,,,,,,,,,,,,,,
1949Q2,5.2,1.6,1.3,10.3,12.4,-13.8,5.3,,,,,,,,,,,,,,,,,,,,
1949Q3,14.1,20.1,19.7,25.0,2.8,-11.9,7.8,,,,,,,,,,,,,,,,,,,,
1949Q4,5.2,11.1,11.3,4.7,-5.6,-7.4,7.6,,,,,,,,,,,,,,,,,,,,
1950Q1,2.7,0.4,-0.4,14.0,7.8,5.0,12.5,,,,,,,,,,,,,,,,,,,,
1950Q2,2.4,-6.0,-8.1,18.0,17.5,12.3,17.0,,,,,,,,,,,,,,,,,,,,
1950Q3,3.1,-6.8,-9.5,21.5,20.7,31.1,16.3,,,,,,,,,,,,,,,,,,,,
1950Q4,1.7,-9.2,-11.9,16.3,20.3,37.8,17.9,,,,,,,,,,,,,,,,,,,,
1951Q1,-1.0,-13.8,-15.7,7.8,18.2,34.5,15.0,,,,,,,,,,,,,,,,,,,,
1951Q2,2.2,-7.7,-9.6,3.8,16.2,29.9,8.2,,,,,,,,,,,,,,,,,,,,
1951Q3,7.1,4.6,4.7,3.8,10.6,15.7,8.1,,,,,,,,,,,,,,,,,,,,
1951Q4,10.5,14.0,14.7,7.5,6.0,8.4,9.9,,,,,,,,,,,,,,,,,,,,
1952Q1,3.0,3.2,2.2,11.1,2.7,29.5,0.0,,,,,,,,,,,,,,,,,,,,
1952Q2,7.9,-2.8,-4.9,14.4,22.3,-4.6,7.7,,,,,,,,,,,,,,,,,,,,
1952Q3,8.2,9.9,8.5,17.4,6.5,6.2,7.6,,,,,,,,,,,,,,,,,,,,
1952Q4,5.2,8.5,8.3,13.3,0.5,15.2,7.4,,,,,,,,,,,,,,,,,,,,
1953Q1,-3.2,-6.8,-7.7,0.0,1.5,5.9,9.1,,,,,,,,,,,,,,,,,,,,
1953Q2,-6.7,-18.9,-20.1,-9.7,8.9,4.3,8.9,,,,,,,,,,,,,,,,,,,,
1953Q3,13.0,21.4,24.9,-3.3,2.9,1.4,5.2,,,,,,,,,,,,,,,,,,,,
1953Q4,1.9,9.2,10.0,3.3,-7.2,-4.3,5.2,,,,,,,,,,,,,,,,,,,,
1954Q1,-0.6,1.9,1.3,9.9,-3.9,-11.5,3.4,,,,,,,,,,,,,,,,,,,,
1954Q2,3.0,-1.1,-3.4,9.7,8.4,-5.9,6.8,,,,,,,,,,,,,,,,,,,,
1954Q3,13.3,18.7,20.0,12.6,6.3,-3.0,11.6,,,,,,,,,,,,,,,,,,,,
1954Q4,18.6,22.9,24.7,9.2,12.3,1.5,12.9,,,,,,,,,,,,,,,,,,,,
1955Q1,-0.2,-11.2,-14.5,14.9,15.2,7.5,15.6,,,,,,,,,,,,,,,,,,,,
1955Q2,-1.8,-16.0,-18.2,0.0,16.4,13.3,15.0,,,,,,,,,,,,,,,,,,,,
1955Q3,1.8,-9.8,-10.8,-2.9,14.9,20.1,13.0,,,,,,,,,,,,,,,,,,,,
1955Q4,4.9,-3.7,-3.8,-2.9,14.8,21.8,9.8,,,,,,,,,,,,,,,,,,,,
1956Q1,1.0,-12.0,-13.8,0.0,14.6,22.0,6.8,,,,,,,,,,,,,,,,,,,,
1956Q2,-0.8,-15.1,-16.9,-2.9,13.4,28.2,12.1,,,,,,,,,,,,,,,,,,,,
1956Q3,-1.3,-5.2,-6.1,0.0,2.2,18.3,6.5,,,,,,,,,,,,,,,,,,,,
1956Q4,5.4,6.9,8.5,-2.9,4.0,14.2,6.4,,,,,,,,,,,,,,,,,,,,
1957Q1,-1.5,-4.4,-5.1,0.0,1.1,7.4,2.5,,,,,,,,,,,,,,,,,,,,
1957Q2,3.1,-2.0,-3.8,11.9,7.6,10.4,0.0,,,,,,,,,,,,,,,,,,,,
1957Q3,-0.2,-3.7,-4.7,0.0,2.8,10.1,2.5,,,,,,,,,,,,,,,,,,,,
1957Q4,5.1,9.9,9.1,14.4,1.1,-4.0,1.3,,,,,,,,,,,,,,,,,,,,
1958Q1,9.2,10.4,9.8,11.1,8.5,4.0,13.7,,,,,5.2,,,,,,,,,,,,,,,
1958Q2,19.2,35.9,38.4,24.3,3.8,-4.0,6.0,,,,,-1.7,,,,,,,,,,,,,,,
1958Q3,14.7,23.3,24.6,15.3,6.8,0.0,20.2,,,,,5.1,,,,,,,,,,,,,,,
1958Q4,5.7,4.7,4.3,7.4,6.7,6.0,13.6,,,,,3.4,,,,,,,,,,,,,,,
1959Q1,2.7,-5.0,-6.2,4.8,9.9,2.9,14.2,,,,,15.1,,,,,,,,,,,,,,,
1959Q2,-0.8,-15.6,-19.7,4.8,13.5,13.7,13.7,,,,,14.5,,,,,,,,,,,,,,,
1959Q3,1.8,-16.9,-19.1,-2.4,18.4,17.9,9.2,,,,,18.7,,,,,,,,,,,,,,,
1959Q4,0.3,-11.4,-13.1,0.0,9.5,8.1,8.0,,,,,17.8,,,,,,,,,,,,,,,
1960Q1,-3.1,-16.7,-19.4,-4.7,7.6,10.6,6.8,,,,,11.4,,,,,,,,,,,,,,,
1960Q2,-0.2,-9.5,-10.4,-4.8,6.6,11.2,1.0,,,,,8.3,,,,,,,,,,,,,,,
1960Q3,8.5,14.2,17.0,2.4,4.2,4.2,0.0,,,,,9.5,,,,,,,,,,,,,,,
1960Q4,10.6,21.9,24.3,4.8,3.1,4.1,1.0,,,,,7.9,,,,,,,,,,,,,,,
1961Q1,10.6,13.0,12.3,19.0,8.6,2.5,2.9,,,,,11.7,,,,,,,,,,,,,,,
1961Q2,4.5,4.7,3.0,13.6,4.3,1.6,3.8,,,,,2.5,,,,,,,,,,,,,,,
1961Q3,10.4,19.2,20.3,13.2,3.7,4.1,5.6,,,,,2.5,,,,,,,,,,,,,,,
1961Q4,10.7,14.6,15.3,12.8,7.7,5.6,5.6,,,,,3.7,,,,,,,,,,,,,,,
1962Q1,4.2,0.3,-2.7,14.4,7.3,6.3,8.2,,,,,8.6,,,,,,,,,,,,,,,
1962Q2,5.2,-2.6,-9.4,31.8,11.2,9.4,11.7,,,,,9.7,,,,,,,,,,,,,,,
1962Q3,6.8,2.0,-1.6,20.3,10.4,9.2,13.9,,,,,10.6,,,,,,,,,,,,,,,
1962Q4,10.6,7.9,6.8,10.5,12.6,9.7,13.5,,,,,8.0,,,,,,,,,,,,,,,
1963Q1,7.6,3.9,1.6,13.7,10.3,5.8,13.0,,,,,11.3,,,,,,,,,,,,,,,
1963Q2,4.9,-6.0,-13.0,24.8,12.6,7.9,15.0,,,,,12.1,,,,,,,,,,,,,,,
1963Q3,6.4,-5.5,-12.6,21.8,14.9,6.3,16.0,,,,,7.4,,,,,,,,,,,,,,,
1963Q4,9.4,2.9,0.8,8.9,13.7,13.9,11.7,,,,,18.8,,,,,,,,,,,,,,,
1964Q1,5.9,-1.0,-3.8,8.7,10.3,10.1,12.1,,,,,13.0,,,,,,,,,,,,,,,
1964Q2,4.2,-9.1,-15.2,12.7,12.5,8.5,10.3,,,,,14.5,,,,,,,,,,,,,,,
1964Q3,6.4,-0.3,-4.8,12.3,10.4,10.9,10.1,,,,,16.8,,,,,,,,,,,,,,,
1964Q4,12.6,15.7,16.9,10.6,11.1,14.3,9.8,,,,,13.4,,,,,,,,,,,,,,,
1965Q1,8.6,-1.9,-6.8,14.2,14.5,21.1,10.2,,,,,12.1,,,,,,,,,,,,,,,
1965Q2,6.6,-10.6,-20.4,17.5,16.1,19.4,11.9,,,,,13.4,,,,,,,,,,,,,,,
1965Q3,7.7,-2.3,-8.7,15.6,12.9,15.8,12.7,,,,,16.3,,,,,,,,,,,,,,,
1965Q4,12.1,13.7,16.4,5.8,11.3,14.7,12.3,,,,,12.5,,,,,,,,,,,,,,,
1966Q1,6.1,-2.9,-6.7,6.8,10.7,16.2,12.0,,,,,9.1,,,,,,,,,,,,,,,
1966Q2,5.9,-8.4,-15.6,8.9,12.9,17.0,10.5,,,,,9.6,,,,,,,,,,,,,,,
1966Q3,9.0,4.0,0.0,13.1,11.3,18.6,14.6,,,,,5.8,,,,,,,,,,,,,,,
1966Q4,4.9,8.9,5.2,16.9,3.1,7.1,6.8,,,,,1.4,,,,,,,,,,,,,,,
1967Q1,11.1,23.1,26.3,16.2,5.6,6.1,4.6,,,,,2.8,,,,,,,,,,,,,,,
1967Q2,5.4,3.0,-1.8,13.7,6.7,10.8,4.6,,,,,4.9,,,,,,,,,,,,,,,
1967Q3,10.9,16.0,18.6,10.4,8.3,8.8,8.0,,,,,9.1,,,,,,,,,,,,,,,
1967Q4,13.3,24.6,30.9,11.0,7.9,6.2,10.3,,,,,8.9,,,,,,,,,,,,,,,
1968Q1,7.0,3.5,-1.6,16.1,8.8,8.5,11.0,,,,,9.3,,,,,,,,,,,,,,,
1968Q2,4.3,-5.7,-13.4,11.2,9.1,10.7,11.2,,,,,9.8,,,,,,,,,,,,,,,
1968Q3,11.7,10.7,8.6,14.2,12.4,10.0,8.6,,,,,12.1,,,,,,,,,,,,,,,
1968Q4,15.7,21.1,20.4,22.6,13.0,13.9,11.1,,,,,15.4,,,,,,,,,,,,,,,
1969Q1,3.5,-10.4,-20.2,9.2,10.4,15.6,12.1,,,,,11.9,,,,,,,,,,,,,,,
1969Q2,3.1,-15.4,-27.2,6.7,11.7,14.3,7.9,,,,,11.5,,,,,,,,,,,,,,,
1969Q3,-2.4,-13.0,-15.5,-8.8,2.2,6.1,4.1,,,,,6.2,,,,,,,,,,,,,,,
1969Q4,3.5,-0.3,1.8,-3.0,5.0,7.7,4.5,,,,,5.5,,,,,,,,,,,,,,,
1970Q1,0.8,-4.8,-10.2,3.0,3.2,1.6,5.2,,,,,4.9,,,,,,,,,,,,,,,
1970Q2,5.1,8.8,2.3,20.3,3.5,1.3,1.6,,,,,2.2,,,,,,,,,,,,,,,
1970Q3,10.0,16.1,19.1,10.7,7.5,8.8,2.0,,,,,5.9,,,,,,,,,,,,,,,
1970Q4,14.7,33.4,39.9,23.7,6.9,7.0,4.7,,,,,4.2,,,,,,,,,,,,,,,
1971Q1,13.4,27.6,28.0,27.0,7.2,4.7,7.0,,,,,6.3,,,,,,,,,,,,,,,
1971Q2,9.9,5.8,-7.0,27.1,11.8,4.6,10.7,,,,,11.8,,,,,,,,,,,,,,,
1971Q3,9.2,3.6,-1.9,12.1,11.9,8.5,15.6,,,,,12.0,,,,,,,,,,,,,,,
1971Q4,12.9,15.8,17.7,12.9,11.5,6.9,13.2,,,,,14.1,,,,,,,,,,,,,,,
1972Q1,12.7,14.5,14.1,15.2,12.0,4.1,16.6,,,,,14.1,,,,,,,,,,,,,,,
1972Q2,13.4,4.4,-2.4,14.6,17.4,11.9,19.3,,,,,16.3,,,,,,,,,,,,,,,
1972Q3,9.8,-2.9,-10.5,7.6,15.5,10.4,19.3,,,,,17.0,,,,,,,,,,,,,,,
1972Q4,17.1,13.3,18.7,6.4,18.7,16.8,18.5,,,,,15.4,,,,,,,,,,,,,,,
1973Q1,17.6,6.7,13.4,-3.4,22.1,27.9,19.7,,,,,17.3,,,,,,,,,,,,,,,
1973Q2,13.7,-7.1,-18.0,9.3,22.1,27.6,20.7,,,,,18.1,,,19.0,,4.4,,96.3,27.8,14.3,12.0,37.3,,98.0,72.7,14.8
1973Q3,12.8,0.6,-7.7,11.5,17.3,18.9,18.9,,,,,13.3,,,16.4,,18.2,,59.7,20.1,14.5,11.5,30.4,,87.4,22.2,13.0
1973Q4,12.5,19.0,30.6,4.7,10.1,7.0,17.0,,,,,10.3,,,4.5,,17.4,,15.6,19.2,13.8,12.5,4.9,,12.6,30.8,12.8
1974Q1,11.8,13.7,18.2,6.9,11.2,13.4,13.7,,,,,8.3,,,6.0,,14.7,,45.0,2.3,13.6,7.1,13.8,,5.2,9.0,7.0
1974Q2,14.1,-3.0,-14.8,14.1,20.4,29.1,14.9,,,,,6.5,,,29.6,,6.9,,31.5,28.0,13.8,14.8,34.4,,51.5,36.8,16.4
1974Q3,7.8,-6.8,-18.7,9.2,12.8,18.9,10.3,,,,,3.7,,,15.4,,0.8,,41.7,48.8,9.5,7.3,26.9,,50.2,66.0,9.9
1974Q4,4.5,5.5,7.6,3.0,4.2,8.8,5.5,,,,,0.3,,,-2.5,,6.8,,-56.6,35.3,7.0,10.6,8.9,,14.9,50.9,11.9
1975Q1,2.1,14.7,24.0,3.0,-2.1,-0.9,4.1,,,,,-1.7,,,-15.3,,-9.6,,-48.4,5.2,1.3,0.0,6.1,,-23.5,-26.7,-2.4
1975Q2,5.1,27.4,48.1,0.0,-2.7,-8.6,2.6,,,,,-2.7,,,0.0,,11.8,,15.0,17.7,6.1,8.2,4.6,,8.3,-6.6,7.3
1975Q3,4.4,18.7,28.1,4.6,-1.0,-6.3,-0.2,,,,,1.7,,,5.6,,-6.3,,38.6,0.5,2.4,2.5,-2.3,,-13.6,3.4,2.1
1975Q4,7.9,20.3,29.7,5.4,3.0,-0.8,4.0,,,,,7.3,,,3.6,,7.9,,0.0,20.8,8.4,9.9,-4.1,,29.5,-8.9,9.6
1976Q1,4.9,13.0,25.0,-7.0,1.6,-3.4,5.5,,,,,8.9,,,-3.6,,9.2,,13.2,-7.8,4.7,1.5,-7.2,,-13.1,-27.2,-0.2
1976Q2,7.9,11.8,16.8,2.9,6.3,-6.7,10.6,,,,,9.9,,,19.3,,5.0,,21.3,-65.8,4.7,6.3,0.2,,2.7,-125.2,2.2
1976Q3,5.9,1.5,-2.9,9.6,7.7,3.7,7.9,,,,,11.0,,,11.5,,5.0,,-8.1,15.2,7.0,4.9,0.9,,2.7,-5.3,4.3
1976Q4,13.0,17.8,24.7,5.3,11.0,8.7,9.7,,,,,11.6,,,16.6,,14.3,,4.1,15.9,14.1,11.9,-10.4,,33.3,-3.6,12.0
1977Q1,9.6,12.1,20.6,-4.0,8.6,7.8,11.8,,,,,15.1,,,-2.3,,-3.0,,0.0,15.9,8.3,5.2,8.5,,32.0,23.5,6.0
1977Q2,11.4,5.2,0.6,14.6,14.1,9.5,17.3,,,,,18.5,,,11.4,,13.6,,61.2,-6.8,11.2,11.8,14.7,,28.5,59.8,13.2
1977Q3,9.5,-4.1,-11.9,10.9,15.2,11.1,18.5,,,,,18.0,,,13.0,,14.8,,31.9,-9.2,9.6,9.2,11.9,,10.6,11.9,9.1
1977Q4,11.6,1.9,-2.7,10.3,15.5,11.6,18.2,,,,,17.5,,,15.1,,8.6,,36.1,15.9,12.4,13.6,11.3,,33.2,4.3,13.9
1978Q1,10.8,2.8,6.5,-3.7,13.8,14.4,17.3,,,,,17.8,,,2.4,,6.2,,-12.0,15.9,9.8,7.9,23.7,,34.4,24.3,8.4
1978Q2,14.4,5.4,3.7,8.6,17.8,18.5,18.7,,,,,20.1,,,11.5,,17.1,,34.1,33.8,15.7,13.8,27.1,,52.9,101.0,17.6
1978Q3,12.4,-2.1,-5.3,3.7,17.7,14.4,20.3,,,,,22.3,,,12.9,,10.6,,37.1,9.0,11.0,8.8,14.3,,15.6,53.8,10.7
1978Q4,14.2,2.4,-0.8,7.6,18.4,11.8,19.9,,,,,15.3,,,31.4,,15.2,,104.6,22.1,15.8,11.5,12.9,,88.4,60.7,16.5
1979Q1,7.0,-2.2,-14.7,19.6,10.2,13.6,7.8,,,,,6.9,,,12.4,,58.4,,-26.9,-22.4,9.7,2.3,14.1,,876.7,116.0,50.4
1979Q2,15.8,9.3,10.7,7.1,17.9,24.4,14.2,,,,,19.2,,,12.2,,-4.6,,82.2,52.8,17.7,4.1,0.5,,42.3,122.5,16.3
1979Q3,14.9,5.8,3.3,9.7,17.9,18.6,19.8,,,,,14.2,,,17.4,,23.6,,-7.4,32.2,18.4,10.9,11.7,,42.2,26.9,16.7
1979Q4,7.7,7.5,10.4,2.6,7.8,9.4,15.3,,,,,6.4,,,-7.4,,22.3,,80.8,34.3,11.2,11.2,15.2,,5.8,31.1,11.1
1980Q1,7.2,2.5,1.8,4.2,8.6,11.1,13.0,,,,,4.8,,,-0.2,,1.1,,29.7,34.5,7.9,6.3,14.5,,13.0,22.9,7.3
1980Q2,4.4,10.3,8.6,12.8,2.6,4.2,7.8,,,,,-7.7,,,2.6,,-4.3,,27.6,43.8,8.0,5.5,19.0,,19.1,20.5,7.0
1980Q3,7.1,20.1,25.0,12.1,3.0,4.3,5.7,,,,,-6.9,,,7.3,,3.9,,2.7,24.7,9.7,8.0,3.7,,33.4,23.3,11.8
1980Q4,12.4,12.3,15.9,6.0,12.4,20.3,8.9,,,,,-0.8,,,20.3,,26.9,,54.1,-13.4,13.1,17.6,22.9,,8.1,18.1,16.0
1981Q1,8.2,9.5,13.9,2.4,7.8,8.5,7.4,,,,,1.3,,,14.9,,6.5,,64.3,10.5,9.9,10.2,36.7,,9.6,29.4,10.7
1981Q2,8.2,6.5,8.8,2.7,8.7,13.3,8.4,,,,,3.0,,,7.0,,25.4,,53.3,28.7,11.6,10.4,18.1,,19.9,6.8,11.2
1981Q3,7.6,1.0,1.2,0.6,9.8,15.0,8.5,,,,,2.4,,,10.4,,17.5,,43.4,20.8,8.9,8.1,17.7,,1.8,-7.3,6.7
1981Q4,4.1,0.2,-6.4,11.7,5.3,12.2,6.9,,,,,0.9,,,-6.5,,-59.3,,5.7,35.6,0.2,-5.3,7.7,,31.5,-2.3,0.7
1982Q1,3.6,0.9,3.6,-3.7,4.4,16.7,8.1,,,,,2.1,,,-25.6,,2.8,,0.0,15.5,5.3,7.0,14.9,,21.0,-14.6,11.8
1982Q2,9.3,7.3,7.1,8.0,9.9,18.2,8.0,,,,,3.9,,,2.6,,-8.8,,-20.9,15.4,7.5,7.9,14.8,,4.1,11.1,7.7
1982Q3,5.9,5.2,7.6,0.8,6.1,11.8,3.4,,,,,2.6,,,3.3,,18.5,,18.7,22.5,9.3,10.7,14.4,,6.4,13.1,9.5
1982Q4,6.6,15.1,22.3,2.5,4.0,5.4,2.1,,,,,2.4,,,6.7,,23.2,,-4.1,14.0,8.3,9.7,-0.7,,12.5,15.5,10.5
1983Q1,7.8,22.4,30.4,7.8,3.2,1.6,4.3,,,,,3.5,,,4.3,,11.1,,-28.7,15.8,7.4,11.3,-21.8,,8.7,-5.2,9.2
1983Q2,10.6,29.5,38.9,11.5,4.4,-0.6,5.8,,,,,7.9,,,8.7,,1.5,,-25.6,-20.0,5.4,7.4,-11.8,,-1.2,-23.2,4.5
1983Q3,9.7,10.9,12.3,8.0,9.2,8.1,10.4,,,,,15.4,,,2.3,,1.1,,0.9,9.0,8.6,5.7,-2.0,,7.8,21.7,7.0
1983Q4,11.7,13.9,21.8,-2.3,11.0,9.1,11.1,,,,,20.1,,,3.9,,-1.3,,10.4,7.0,9.0,7.3,3.7,,4.5,26.1,8.3
1984Q1,9.8,5.9,3.9,10.8,11.2,13.2,12.4,,,,,17.3,,,-4.5,,5.8,,2.8,-11.2,8.4,7.1,-6.0,,8.1,3.5,6.8
1984Q2,11.6,0.6,-1.1,4.1,15.4,20.7,12.9,,,,,19.4,,,2.9,,-2.0,,37.4,26.5,12.4,10.2,17.8,,10.3,28.4,11.6
1984Q3,8.8,-1.9,-2.9,-0.3,12.5,12.4,11.4,,,,,17.8,,,8.0,,-1.5,,-21.7,5.7,7.1,8.3,11.2,,9.5,2.2,7.9
1984Q4,8.8,1.2,2.5,-1.5,11.3,9.5,11.1,,,,,17.2,,,8.4,,0.2,,-21.1,-2.1,6.8,7.8,3.9,,6.8,0.3,7.5
1985Q1,9.2,6.4,10.9,-3.0,10.0,5.1,10.0,,,,,20.0,,,8.8,,6.2,,36.3,3.0,7.8,8.7,6.5,,-10.2,15.6,5.9
1985Q2,-3.0,-18.6,-27.1,0.0,1.9,2.5,-9.2,,,,,13.7,,,10.8,,18.4,,-6.0,-32.7,-2.1,4.3,-14.2,,-44.1,26.1,-4.3
1985Q3,8.9,4.3,-2.7,18.9,10.2,7.8,10.7,,,,,15.8,,,7.1,,4.8,,0.0,-2.8,7.7,7.8,-0.3,,16.1,10.9,8.2
1985Q4,9.1,10.8,-8.2,47.9,8.6,4.4,12.5,,,,,11.1,,,6.3,,9.8,,-2.6,-5.1,8.8,8.7,8.5,,29.9,-20.3,10.4
1986Q1,12.5,23.6,8.1,50.0,9.2,4.3,12.6,,,,,6.9,,,17.0,,1.5,,-12.2,2.5,9.8,6.2,8.8,,20.3,0.5,10.2
